"age","anxiety","anxiety_r","artgluctot","attachhome","attachphone","AvgHumidity","avgtemp","avoidance","avoidance_r","cigs","didf","eatdrink","eot","exercise","gluctot","health","hiTemp","kamf","langfamily","language","mintemp","monogamous","networksize","nostalgia","onlineid","riskAvd","romantic","scontrol","sex","Site","smoke","socialdiversity","socialembedded","socTherm","soliTherm","stress"
1984,3.22222222222222,0.462420546880717,1,4.44444444444444,3.88888888888889,79,36.25,2.22222222222222,-0.73233907382346,0,2.18181818181818,1,2.8,2,1,4,4,3.42857142857143,1,2,13,3,70,25,3.72727272727273,2.66666666666667,1,43,1,"Chile",2,8,6,2.4,2.875,40
1984,2.61111111111111,-0.160068650843325,0,3.77777777777778,3.22222222222222,64,36.75,2.33333333333333,-0.630016249137548,NA,1.72727272727273,1,1.6,2,9,3,2.85714285714286,3.28571428571429,1,2,10,7,34,21,2.90909090909091,3,1,50,1,"Chile",1,5,5,3.8,2.125,37
1985,3.27777777777778,0.519010473946539,1,5,1.66666666666667,61,36.6,1.72222222222222,-1.19279178491007,0,2,1,1.8,2,0,2,3,4,1,2,10,6,34,18,2.36363636363636,2.33333333333333,1,50,2,"Chile",2,7,5,4,4,34
1987,4.38888888888889,1.65080901526298,0,4.55555555555556,3,76,36.05,2.44444444444444,-0.527693424451635,0,1.81818181818182,1,1.6,2,2,2,1.42857142857143,4.28571428571429,1,2,8,7,40,30,4.18181818181818,2.66666666666667,1,23,2,"Chile",2,7,6,4.2,3.25,41
1987,3.27777777777778,0.519010473946539,18,5,3.11111111111111,87,36.45,2.88888888888889,-0.118402125707985,NA,1.90909090909091,1,2.4,2,2,4,2.28571428571429,3.85714285714286,1,2,7,7,26,14,2.81818181818182,3.33333333333333,1,40,2,"Chile",1,7,3,2,3.5,38
1989,3.27777777777778,0.519010473946539,0,4.66666666666667,2.88888888888889,79,36.05,1.72222222222222,-1.19279178491007,NA,1.72727272727273,1,3.4,2,0,4,2.42857142857143,2,1,2,12,6,20,10,3.27272727272727,3,1,57,1,"Chile",1,5,3,3.4,3.75,29
1989,2.33333333333333,-0.443018286172435,0,3.66666666666667,2.66666666666667,21,36.45,3,-0.0160793010220719,NA,1.45454545454545,1,2,2,2,3,3.57142857142857,2.42857142857143,1,2,13,7,13,23,2.90909090909091,2.66666666666667,1,41,2,"Chile",1,7,1,2,3,42
1989,2.16666666666667,-0.612788067369901,0,4.22222222222222,2.88888888888889,67,36.5,4.55555555555556,1.4164402445807,NA,1.63636363636364,1,2,2,0,2,2.85714285714286,4.85714285714286,1,2,8,7,13,40,4.27272727272727,4,1,43,2,"Chile",1,7,1,4.8,3.25,47
1991,3.22222222222222,0.462420546880717,31,4,2.77777777777778,59,36.35,4,0.904826121151142,0,2.45454545454545,1,2.2,2,0,3,3.14285714285714,3.85714285714286,1,2,2,6,15,22,3.09090909090909,3.33333333333333,1,24,1,"Chile",2,5,3,3,3.125,42
1991,1.61111111111111,-1.17868733802812,1,4,2.55555555555556,62,36.8,2.88888888888889,-0.118402125707985,NA,2,1,2.2,2,0,3,3.28571428571429,4.42857142857143,1,2,11,7,34,14,2.90909090909091,2,1,35,2,"Chile",1,7,4,2.8,3.25,38
